,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
193,BREAKFAST,COMMERCIAL,"BOSTON, MASS.",1900-04-01
194,A LA CARTE MENU,COMMERCIAL,NY,1900-04-01
195,DINNER,COMMERCIAL,BLEECKER ST. NY,1900-04-01
196,BREAKFAST,COMMERCIAL,EN ROUTE,1900-04-01
197,BREAKFAST,COMMERCIAL,,1900-04-02
198,BREAKFAST,COMMERCIAL,"WASHINGTON,DC",1900-04-03
199,BREAKFAST,COMMERCIAL,ABOARD SS ,1900-08-22
200,TIFFIN,COMMERCIAL,ABOARD SS ,1900-08-22
201,ANNUAL OUTING,SOC,"HOTEL VICTORY, PUT-IN-BAY-ISLAND, LAKE ERIE, OH.",1900-08-23
202,DINNER,COMMERCIAL,ABOARD SS KOBE,1900-08-24
203,EVENING DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH",1900-08-24
204,DINNER IN HONOR OF H.I.M.MUTSU-HITO 47TH BIRTHDAY,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-11-02
205,LUNCH,SOC,THE KNICKERBOCKER CLUB,1900-11-02
206,BANQUET,SOC,SAINT LOUIS CLUB,1900-11-03
207,DINNER,COMMERCIAL,"NEW ORLEANS, LA",1900-11-03
208,EVENING MEAL,,"WACO, TX",1900-11-05
209,BREAKFAST,COMMERCIAL,"NEW YORK, NY",1900-05-14
210,DINNER,COMMERCIAL,SS CITY OF PARA,1900-05-14
211,DAILY MENU,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, NY",1900-05-14
212,BREAKFAST,COMMERCIAL,SS RIO DE JANEIRO,1900-05-15
213,TIFFIN,COMMERCIAL,SS RIO DE JANEIRO,1900-05-15
214,BREAKFAST,COMMERCIAL,"PORTLAND, ME",1900-05-16
215,DINNER,COMMERCIAL,"PORTLAND, ME",1900-05-16
216,MENU,SOC,"QUEEN CITY CLUB, CINCINNATI, OH",1900-11-13
217,BREAKFAST,COMMERCIAL,"CORONADO BEACH, CA",1900-11-13
218,DINNER,COMMERCIAL,"CORONADO BEACH, CA",1900-11-13
